textID,text,label,label_text,Sentence,Negative,Neutral,Positive,Overall Sentiment,Compound
f87dea47db,Last session of the day  http://twitpic.com/67ezh,1,neutral,Last session of the day  http://twitpic.com/67ezh,0.0,100.0,0.0,neutral,0.0
96d74cb729, Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China:  (SH)  (BJ).,2,positive, Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China:  (SH)  (BJ).,0.0,67.0,33.0,positive,0.7501
eee518ae67,"Recession hit Veronique Branquinho, she has to quit her company, such a shame!",0,negative,"Recession hit Veronique Branquinho, she has to quit her company, such a shame!",36.0,64.0,0.0,negative,-0.7345
01082688c6, happy bday!,2,positive, happy bday!,0.0,20.0,80.0,positive,0.6114
33987a8ee5, http://twitpic.com/4w75p - I like it!!,2,positive, http://twitpic.com/4w75p - I like it!!,0.0,56.49999999999999,43.5,positive,0.4738
726e501993, that`s great!! weee!! visitors!,2,positive, that`s great!! weee!! visitors!,0.0,36.3,63.7,positive,0.7405
261932614e,I THINK EVERYONE HATES ME ON HERE   lol,0,negative,I THINK EVERYONE HATES ME ON HERE   lol,29.2,48.3,22.5,negative,-0.2103
afa11da83f," soooooo wish i could, but im in school and myspace is completely blocked",0,negative," soooooo wish i could, but im in school and myspace is completely blocked",19.400000000000002,69.0,11.600000000000001,negative,-0.3048
e64208b4ef, and within a short time of the last clue all of them,1,neutral, and within a short time of the last clue all of them,0.0,100.0,0.0,neutral,0.0
37bcad24ca, What did you get?  My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!,1,neutral, What did you get?  My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!,0.0,88.1,11.899999999999999,positive,0.3164
24c92644a4,My bike was put on hold...should have known that.... argh total bummer,0,negative,My bike was put on hold...should have known that.... argh total bummer,20.8,79.2,0.0,negative,-0.4391
43b390b336, I checked.  We didn`t win,1,neutral, I checked.  We didn`t win,0.0,51.300000000000004,48.699999999999996,positive,0.5859
69d6b5d93e, .. and you`re on twitter! Did the tavern bore you that much?,1,neutral, .. and you`re on twitter! Did the tavern bore you that much?,17.2,82.8,0.0,negative,-0.3164
5c1e0b61a1,"I`m in VA for the weekend, my youngest son turns 2 tomorrow......it makes me kinda sad, he is getting so big, check out my twipics",0,negative,"I`m in VA for the weekend, my youngest son turns 2 tomorrow......it makes me kinda sad, he is getting so big, check out my twipics",10.5,89.5,0.0,negative,-0.4228
504e45d9d9,Its coming out the socket  I feel like my phones hole is not a virgin. That`s how loose it is... :`(,0,negative,Its coming out the socket  I feel like my phones hole is not a virgin. That`s how loose it is... :`(,9.700000000000001,79.80000000000001,10.5,positive,0.0516
ae93ad52a0,"So hot today =_=  don`t like it and i hate my new timetable, having such a bad week",0,negative,"So hot today =_=  don`t like it and i hate my new timetable, having such a bad week",29.099999999999998,60.699999999999996,10.100000000000001,negative,-0.6908
9fce30159a, Miss you,0,negative, Miss you,61.5,38.5,0.0,negative,-0.1531
00d5195223,Cramps . . .,0,negative,Cramps . . .,0.0,100.0,0.0,neutral,0.0
33f19050cf, you guys didn`t say hi or answer my questions yesterday  but nice songs.,2,positive, you guys didn`t say hi or answer my questions yesterday  but nice songs.,0.0,76.4,23.599999999999998,positive,0.5719
f7718b3c23,"I`m going into a spiritual stagnentation, its exploding my ego!. I now realise, i`m not all that great. and I`m ok with that.",1,neutral,"I`m going into a spiritual stagnentation, its exploding my ego!. I now realise, i`m not all that great. and I`m ok with that.",13.4,78.4,8.200000000000001,negative,-0.3369
9ef44428d0,Stupid storm. No river for us tonight,0,negative,Stupid storm. No river for us tonight,52.800000000000004,47.199999999999996,0.0,negative,-0.6808
be634ebeb0,My dead grandpa pays more attention to me than you do,0,negative,My dead grandpa pays more attention to me than you do,30.099999999999998,69.89999999999999,0.0,negative,-0.6486
3dcf4f7e13,"... need retail therapy, bad. AHHH.....gimme money geebus",0,negative,"... need retail therapy, bad. AHHH.....gimme money geebus",33.300000000000004,66.7,0.0,negative,-0.5423
f0ef04109b,about to go to sleep,1,neutral,about to go to sleep,0.0,100.0,0.0,neutral,0.0
8be365118e, you are lame  go make me breakfast!!,0,negative, you are lame  go make me breakfast!!,36.1,63.9,0.0,negative,-0.5242
c50bdd4567, thats so cool,2,positive, thats so cool,0.0,43.5,56.49999999999999,positive,0.3804
334954f215,"hey peoples, dont you just hate being grounded haha, im just sat eating an apple and watching death note (some anime)",1,neutral,"hey peoples, dont you just hate being grounded haha, im just sat eating an apple and watching death note (some anime)",14.000000000000002,64.5,21.5,positive,0.2728
b783916431,"Huh, another ScarePoint coding Sunday",1,neutral,"Huh, another ScarePoint coding Sunday",0.0,100.0,0.0,neutral,0.0
1fa8e6ad66, look who I found just for you  --->  http://twitter.com/DJT2009,2,positive, look who I found just for you  --->  http://twitter.com/DJT2009,0.0,100.0,0.0,neutral,0.0
be38b29042,"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day",0,negative,"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day",10.2,79.10000000000001,10.7,neutral,0.0258
95701e8ed9, guess that depends on if you want to be on the jury,1,neutral, guess that depends on if you want to be on the jury,0.0,89.4,10.6,positive,0.0772
4dd58ecd2c,resorted to eating Mickey Ds ALONE.,1,neutral,resorted to eating Mickey Ds ALONE.,35.3,64.7,0.0,negative,-0.4084
cf553cccd5,"There is a faux gothy chick looking at me, sorry I am not going to camden and I like pop-punk and jimmy eat world",1,neutral,"There is a faux gothy chick looking at me, sorry I am not going to camden and I like pop-punk and jimmy eat world",5.0,85.3,9.700000000000001,positive,0.296
55c69c2d52, did he ask for your Twitter ID? Your sun sign?,1,neutral, did he ask for your Twitter ID? Your sun sign?,0.0,100.0,0.0,neutral,0.0
9b1a52cc02, where`d you go!,1,neutral, where`d you go!,0.0,100.0,0.0,neutral,0.0
cce5c4744a,Watching Body of Lies...good film,2,positive,Watching Body of Lies...good film,0.0,100.0,0.0,neutral,0.0
c7f9d559e2,Happy mothers day mumm  xoxo,2,positive,Happy mothers day mumm  xoxo,0.0,28.000000000000004,72.0,positive,0.8271
3d2478db59,So I really need to put the laptop down & start getting ready for  shindig...But I`ve missed my TwitterLoves all day,1,neutral,So I really need to put the laptop down & start getting ready for  shindig...But I`ve missed my TwitterLoves all day,9.3,80.2,10.5,positive,0.0772
6d846d7d50, I`m sorry  at least it`s Friday?,0,negative, I`m sorry  at least it`s Friday?,20.599999999999998,79.4,0.0,negative,-0.0772
599f51af6b,"feels sorry every time I`m printing out, I use like 200 new papers",0,negative,"feels sorry every time I`m printing out, I use like 200 new papers",8.799999999999999,74.3,16.900000000000002,positive,0.296
87daa62920, 4n? ma rog  never heard of it  esti beat acum? u tweet too much,0,negative, 4n? ma rog  never heard of it  esti beat acum? u tweet too much,0.0,100.0,0.0,neutral,0.0
6506dc55ff, I always forget SOMETHING when I travel. I am at Newark airport.,1,neutral, I always forget SOMETHING when I travel. I am at Newark airport.,14.7,85.3,0.0,negative,-0.2263
746d87f93e,Should have left car and walked home! I might need someone to rescue me with petrol! Light flashing,1,neutral,Should have left car and walked home! I might need someone to rescue me with petrol! Light flashing,0.0,81.39999999999999,18.6,positive,0.5972
ef7ef8e474,i`m only updating this so that brett`s phone beeps  but really.. looking at wedding stuff. again.for the next five months.,1,neutral,i`m only updating this so that brett`s phone beeps  but really.. looking at wedding stuff. again.for the next five months.,0.0,100.0,0.0,neutral,0.0
d3d7b13278," Hi there.  I agree!  Small children should be running about happy, not breaking down in tears",2,positive," Hi there.  I agree!  Small children should be running about happy, not breaking down in tears",8.9,60.8,30.3,positive,0.68
